ticker,statement,fiscal_date,metric,value
BC.MI,cash_flow,2025-12-31,Free Cash Flow,100921000.0
BC.MI,cash_flow,2025-12-31,Repurchase Of Capital Stock,-7973000.0
BC.MI,cash_flow,2025-12-31,Repayment Of Debt,-87687000.0
BC.MI,cash_flow,2025-12-31,Issuance Of Debt,180000000.0
BC.MI,cash_flow,2025-12-31,Capital Expenditure,-141686000.0
BC.MI,cash_flow,2025-12-31,End Cash Position,202848000.0
BC.MI,cash_flow,2025-12-31,Beginning Cash Position,182050000.0
BC.MI,cash_flow,2025-12-31,Effect Of Exchange Rate Changes,-4698000.0
BC.MI,cash_flow,2025-12-31,Changes In Cash,25496000.0
BC.MI,cash_flow,2025-12-31,Financing Cash Flow,-71815000.0
BC.MI,cash_flow,2025-12-31,Net Other Financing Charges,24570000.0
BC.MI,cash_flow,2025-12-31,Cash Dividends Paid,-68781000.0
BC.MI,cash_flow,2025-12-31,Common Stock Dividend Paid,-68781000.0
BC.MI,cash_flow,2025-12-31,Net Common Stock Issuance,-7973000.0
BC.MI,cash_flow,2025-12-31,Common Stock Payments,-7973000.0
BC.MI,cash_flow,2025-12-31,Net Issuance Payments Of Debt,92313000.0
BC.MI,cash_flow,2025-12-31,Net Long Term Debt Issuance,92313000.0
BC.MI,cash_flow,2025-12-31,Long Term Debt Payments,-87687000.0
BC.MI,cash_flow,2025-12-31,Long Term Debt Issuance,180000000.0
BC.MI,cash_flow,2025-12-31,Investing Cash Flow,-145296000.0
BC.MI,cash_flow,2025-12-31,Net Investment Purchase And Sale,-3050000.0
BC.MI,cash_flow,2025-12-31,Purchase Of Investment,-3050000.0
BC.MI,cash_flow,2025-12-31,Net Investment Properties Purchase And Sale,-787000.0
BC.MI,cash_flow,2025-12-31,Purchase Of Investment Properties,-787000.0
BC.MI,cash_flow,2025-12-31,Net Business Purchase And Sale,0.0
BC.MI,cash_flow,2025-12-31,Net Intangibles Purchase And Sale,-14173000.0
BC.MI,cash_flow,2025-12-31,Purchase Of Intangibles,-14173000.0
BC.MI,cash_flow,2025-12-31,Net PPE Purchase And Sale,-127286000.0
