ticker,statement,fiscal_date,metric,value
BC.MI,income_statement,2025-12-31,Tax Effect Of Unusual Items,-5863170.914362
BC.MI,income_statement,2025-12-31,Tax Rate For Calcs,0.285396
BC.MI,income_statement,2025-12-31,Normalized EBITDA,440098000.0
BC.MI,income_statement,2025-12-31,Total Unusual Items,-20544000.0
BC.MI,income_statement,2025-12-31,Total Unusual Items Excluding Goodwill,-20544000.0
BC.MI,income_statement,2025-12-31,Net Income From Continuing Operation Net Minority Interest,135034000.0
BC.MI,income_statement,2025-12-31,Reconciled Depreciation,180612000.0
BC.MI,income_statement,2025-12-31,Reconciled Cost Of Revenue,119364000.0
BC.MI,income_statement,2025-12-31,EBITDA,419554000.0
BC.MI,income_statement,2025-12-31,EBIT,238942000.0
BC.MI,income_statement,2025-12-31,Net Interest Income,-36611000.0
BC.MI,income_statement,2025-12-31,Interest Expense,40246000.0
BC.MI,income_statement,2025-12-31,Interest Income,3899000.0
BC.MI,income_statement,2025-12-31,Normalized Income,149714829.085638
BC.MI,income_statement,2025-12-31,Net Income From Continuing And Discontinued Operation,135034000.0
BC.MI,income_statement,2025-12-31,Total Expenses,1165594000.0
BC.MI,income_statement,2025-12-31,Rent Expense Supplemental,68282000.0
BC.MI,income_statement,2025-12-31,Total Operating Income As Reported,227784000.0
BC.MI,income_statement,2025-12-31,Diluted Average Shares,67975837.0
BC.MI,income_statement,2025-12-31,Basic Average Shares,67975837.0
BC.MI,income_statement,2025-12-31,Diluted EPS,1.9865
BC.MI,income_statement,2025-12-31,Basic EPS,1.9865
BC.MI,income_statement,2025-12-31,Diluted NI Availto Com Stockholders,135034000.0
BC.MI,income_statement,2025-12-31,Net Income Common Stockholders,135034000.0
BC.MI,income_statement,2025-12-31,Otherunder Preferred Stock Dividend,0.0
BC.MI,income_statement,2025-12-31,Net Income,135034000.0
BC.MI,income_statement,2025-12-31,Minority Interests,-6955000.0
BC.MI,income_statement,2025-12-31,Net Income Including Noncontrolling Interests,141989000.0
BC.MI,income_statement,2025-12-31,Net Income Continuous Operations,141989000.0
BC.MI,income_statement,2025-12-31,Tax Provision,56707000.0
BC.MI,income_statement,2025-12-31,Pretax Income,198696000.0
BC.MI,income_statement,2025-12-31,Other Non Operating Income Expenses,5404000.0
BC.MI,income_statement,2025-12-31,Special Income Charges,-14573000.0
BC.MI,income_statement,2025-12-31,Write Off,8877000.0
BC.MI,income_statement,2025-12-31,Restructuring And Mergern Acquisition,5696000.0
BC.MI,income_statement,2025-12-31,Net Non Operating Interest Income Expense,-36611000.0
BC.MI,income_statement,2025-12-31,Total Other Finance Cost,264000.0
BC.MI,income_statement,2025-12-31,Interest Expense Non Operating,40246000.0
BC.MI,income_statement,2025-12-31,Interest Income Non Operating,3899000.0
BC.MI,income_statement,2025-12-31,Operating Income,242357000.0
BC.MI,income_statement,2025-12-31,Operating Expense,1046230000.0
BC.MI,income_statement,2025-12-31,Other Operating Expenses,416855000.0
BC.MI,income_statement,2025-12-31,Depreciation And Amortization In Income Statement,180612000.0
BC.MI,income_statement,2025-12-31,Amortization,6796000.0
BC.MI,income_statement,2025-12-31,Depreciation Income Statement,173816000.0
BC.MI,income_statement,2025-12-31,Selling General And Administration,128809000.0
BC.MI,income_statement,2025-12-31,Selling And Marketing Expense,96853000.0
BC.MI,income_statement,2025-12-31,General And Administrative Expense,31956000.0
BC.MI,income_statement,2025-12-31,Rent And Landing Fees,68282000.0
BC.MI,income_statement,2025-12-31,Gross Profit,1288587000.0
BC.MI,income_statement,2025-12-31,Cost Of Revenue,119364000.0
BC.MI,income_statement,2025-12-31,Total Revenue,1407951000.0
BC.MI,income_statement,2025-12-31,Operating Revenue,1407951000.0
BC.MI,income_statement,2024-12-31,Tax Effect Of Unusual Items,-2769288.504871
BC.MI,income_statement,2024-12-31,Tax Rate For Calcs,0.284994
BC.MI,income_statement,2024-12-31,Normalized EBITDA,371419000.0
BC.MI,income_statement,2024-12-31,Total Unusual Items,-9717000.0
BC.MI,income_statement,2024-12-31,Total Unusual Items Excluding Goodwill,-9717000.0
BC.MI,income_statement,2024-12-31,Net Income From Continuing Operation Net Minority Interest,119478000.0
BC.MI,income_statement,2024-12-31,Reconciled Depreciation,153004000.0
BC.MI,income_statement,2024-12-31,Reconciled Cost Of Revenue,99383000.0
BC.MI,income_statement,2024-12-31,EBITDA,361702000.0
BC.MI,income_statement,2024-12-31,EBIT,208698000.0
BC.MI,income_statement,2024-12-31,Net Interest Income,-25231000.0
BC.MI,income_statement,2024-12-31,Interest Expense,28961000.0
BC.MI,income_statement,2024-12-31,Interest Income,1603000.0
BC.MI,income_statement,2024-12-31,Normalized Income,126425711.495129
BC.MI,income_statement,2024-12-31,Net Income From Continuing And Discontinued Operation,119478000.0
BC.MI,income_statement,2024-12-31,Total Expenses,1058880000.0
BC.MI,income_statement,2024-12-31,Rent Expense Supplemental,61582000.0
BC.MI,income_statement,2024-12-31,Total Operating Income As Reported,211671000.0
BC.MI,income_statement,2024-12-31,Diluted Average Shares,67996107.0
BC.MI,income_statement,2024-12-31,Basic Average Shares,67996107.0
BC.MI,income_statement,2024-12-31,Diluted EPS,1.75713
BC.MI,income_statement,2024-12-31,Basic EPS,1.75713
BC.MI,income_statement,2024-12-31,Diluted NI Availto Com Stockholders,119478000.0
BC.MI,income_statement,2024-12-31,Net Income Common Stockholders,119478000.0
BC.MI,income_statement,2024-12-31,Otherunder Preferred Stock Dividend,0.0
BC.MI,income_statement,2024-12-31,Net Income,119478000.0
BC.MI,income_statement,2024-12-31,Minority Interests,-9035000.0
BC.MI,income_statement,2024-12-31,Net Income Including Noncontrolling Interests,128513000.0
BC.MI,income_statement,2024-12-31,Net Income Continuous Operations,128513000.0
BC.MI,income_statement,2024-12-31,Tax Provision,51224000.0
BC.MI,income_statement,2024-12-31,Pretax Income,179737000.0
BC.MI,income_statement,2024-12-31,Other Non Operating Income Expenses,3271000.0
BC.MI,income_statement,2024-12-31,Special Income Charges,-7989000.0
BC.MI,income_statement,2024-12-31,Write Off,2821000.0
BC.MI,income_statement,2024-12-31,Restructuring And Mergern Acquisition,5168000.0
BC.MI,income_statement,2024-12-31,Net Non Operating Interest Income Expense,-25231000.0
BC.MI,income_statement,2024-12-31,Total Other Finance Cost,-2127000.0
BC.MI,income_statement,2024-12-31,Interest Expense Non Operating,28961000.0
BC.MI,income_statement,2024-12-31,Interest Income Non Operating,1603000.0
BC.MI,income_statement,2024-12-31,Operating Income,219660000.0
BC.MI,income_statement,2024-12-31,Operating Expense,959497000.0
BC.MI,income_statement,2024-12-31,Other Operating Expenses,390600000.0
BC.MI,income_statement,2024-12-31,Depreciation And Amortization In Income Statement,153004000.0
BC.MI,income_statement,2024-12-31,Amortization,6572000.0
BC.MI,income_statement,2024-12-31,Depreciation Income Statement,146432000.0
BC.MI,income_statement,2024-12-31,Selling General And Administration,121960000.0
BC.MI,income_statement,2024-12-31,Selling And Marketing Expense,92348000.0
BC.MI,income_statement,2024-12-31,General And Administrative Expense,29612000.0
BC.MI,income_statement,2024-12-31,Rent And Landing Fees,61582000.0
BC.MI,income_statement,2024-12-31,Gross Profit,1179157000.0
BC.MI,income_statement,2024-12-31,Cost Of Revenue,99383000.0
BC.MI,income_statement,2024-12-31,Total Revenue,1278540000.0
BC.MI,income_statement,2024-12-31,Operating Revenue,1278540000.0
BC.MI,income_statement,2023-12-31,Tax Effect Of Unusual Items,-5668288.0
BC.MI,income_statement,2023-12-31,Tax Rate For Calcs,0.2857
BC.MI,income_statement,2023-12-31,Normalized EBITDA,350398000.0
BC.MI,income_statement,2023-12-31,Total Unusual Items,-19840000.0
BC.MI,income_statement,2023-12-31,Total Unusual Items Excluding Goodwill,-19840000.0
BC.MI,income_statement,2023-12-31,Net Income From Continuing Operation Net Minority Interest,114617000.0
BC.MI,income_statement,2023-12-31,Reconciled Depreciation,138845000.0
